"gender","ht","wt","hand"
"F",66,130,"R"
"M",68,129,"L"
"M",74,185,"R"
"F",63,108,"R"
"M",75,158,"R"
"F",63,130,"R"
"M",74,240,"R"
"F",65,110,"L"
"F",69,135,"R"
"M",68,160,"R"
"F",68,135,"R"
"F",67,140,"R"
"F",64,125,"L"
"F",64,127,"R"
"F",68,125,"R"
"M",80,275,"R"
"M",69,145,"R"
"M",75,200,"R"
"F",69.5,150,"R"
"F",64,160,"R"
"F",63,110,"R"
"M",69,198,"R"
"F",64,150,"R"
"M",66,138,"R"
"M",65,132,"R"
"F",64,120,"R"
"F",63,109,"R"
"F",70,135,"L"
"M",69.5,180,"R"
"M",70,195,"L"
"F",66,135,"L"
"F",66,135,"R"
"F",64,115,"R"
"F",70,195,"L"
"M",66,175,"R"
"F",66,150,"R"
"M",72,138,"R"
"F",70,128,"R"
"F",65,125,"R"
"M",68,165,"R"
"M",66,140,"R"
"F",64,138,"R"
"M",69,170,"R"
"F",62,135,"R"
"F",62,140,"R"
"F",69,150,"R"
"F",52,134,"R"
"F",67,137,"R"
"M",71,145,"R"
"M",65,160,"R"
"M",75,200,"R"
"M",74,250,"R"
"F",65,150,"R"
"M",73,175,"L"
"M",70,175,"L"
"M",66,185,"R"
"M",74,180,"R"
"M",74,225,"R"
"M",73,175,"R"
"F",65,125,"R"
"F",63,120,"R"
"F",66,124,"R"
"F",65,135,"R"
"F",62,105,"L"
"F",67,125,"R"
"M",71,175,"R"
"M",69,172,"R"
"M",73,165,"R"
"F",64.5,128,"R"
"M",66,150,"R"
"F",66,132,"R"
"M",72,165,"R"
"M",69,146,"R"
"F",63,103,"R"
"M",72,155,"R"
"F",67,130,"R"
"M",68,150,"R"
"M",68,160,"R"
"F",61,127,"R"
"M",69,225,"R"
"F",65,110,"R"
"M",75,245,"R"
"M",72,185,"R"
"M",70,183,"R"
"F",68,160,"R"
"F",67,135,"L"
"F",67,125,"R"
"M",69,186,"L"
"M",68,160,"R"
"M",77,285,"R"
"M",72,189,"R"
"M",68,155,"R"
"M",70,162,"R"
"M",69,155,"R"
"M",69,160,"R"
"M",70,170,"R"
"M",69.5,168,"L"
"M",69,155,"L"
"M",70,158,"R"
"M",73,185,"R"
"M",68,150,"R"
"M",69,145,"R"
"M",72,165,"R"
"F",63,180,"R"
"M",68,139,"L"
"M",71,260,"R"
"M",66.5,185,"L"
"F",58,140,"R"
"M",56,150,"R"
"F",67,132,"R"
"M",71,175,"R"
"F",71,225,"R"
"F",60,110,"R"
"M",74,170,"R"
"M",73,185,"R"
"M",70,185,"R"
"M",66,115,"R"
"F",60,118,"R"
"M",68,165,"R"
"M",69,173,"R"
"M",70,160,"R"
"F",61,165,"L"
"M",73,180,"R"
"M",73,180,"R"
"F",66,150,"L"
"F",66,140,"R"
"M",70,180,"R"
"M",68,170,"R"
"F",69,133,"R"
"F",65,109,"R"
"F",61,135,"R"
"F",70,130,"R"
"M",70,235,"R"
"M",73.5,155,"R"
"M",70,176,"R"
"M",73,150,"R"
"M",71,195,"R"
"M",66,110,"R"
"F",65,110,"R"
"M",67,159,"R"
"F",64,127,"R"
"M",76,215,"R"
"F",62,145,"R"
"F",63,105,"R"
"F",63,118,"R"
"F",64,120,"R"
"M",70,200,"R"
"F",65,130,"L"
"F",65,140,"R"
"F",65,125,"R"
"F",66,149,"R"
"F",64,136,"R"
"F",62,125,"R"
"M",71.5,185,"R"
"F",68,115,"R"
"M",69,160,"L"
"M",69,150,"R"
"F",63,125,"L"
"M",78,230,"R"
"M",69,184,"R"
"M",79.5,237,"R"
"M",69,145,"R"
"M",68,195,"R"
"F",60,100,"R"
"F",63,105,"R"
"M",73,180,"R"
"M",66,160,"L"
"M",67,165,"R"
"M",70,160,"L"
"F",64,160,"R"
"M",68,165,"R"
"M",69,135,"R"
"M",71,165,"R"
"M",74,205,"R"
"M",73,158,"R"
"F",66,150,"R"
"F",64,113,"R"
"F",66,120,"R"
"M",74,160,"R"
"M",69,160,"R"
"F",65,115,"R"
"M",70,196,"R"
"F",68,130,"R"
"F",64,117,"R"
"M",70,165,"R"
"M",75,165,"R"
"M",72,165,"R"
"M",67,127,"R"
"F",66,132,"R"
"M",69,190,"R"
"M",72,192,"R"
"M",69,170,"R"
"F",67,125,"R"
"F",66,115,"L"
"F",63,140,"R"
"M",68,160,"R"
"M",66,150,"R"
"F",69,132,"R"
"M",67,200,"R"
"M",70,195,"R"
"F",70,145,"R"
"M",69,150,"R"
"M",77,185,"L"
"F",62,110,"R"
"M",74,195,"R"
"M",78,215,"R"
"M",69,176,"R"
"F",65,158,"R"
"M",75,165,"R"
"M",70,170,"R"
"F",69,135,"R"
"M",72,205,"R"
"M",72,205,"R"
"M",69,142,"R"
"F",63,120,"R"
